,N,beta,effectiveBeta,effectiveBetaPct,graph_m,meanDegree,p,rep
237,20000,0.155,0.13192062610283783,0.8511008135666958,4,7.9984,0.1,4
238,20000,0.155,0.1318894270098298,0.8508995290956762,4,7.9984,0.05,4
239,20000,0.155,0.12409464028865795,0.8006105825074706,4,7.9984,0.01,4
240,20000,0.155,0.12695742078478484,0.819080134095386,4,7.9984,0.005,4
241,20000,0.155,0.12496551778326999,0.8062291469888386,4,7.9984,0.001,4
242,20000,0.155,0.1316161336261776,0.8491363459753394,4,7.9984,0.0,4
243,20000,0.155,0.1578843856271976,1.018608939530307,3,5.9991,1.0,4
244,20000,0.155,0.1518895404551941,0.9799325190657684,3,5.9991,0.5,4
245,20000,0.155,0.1355146774998174,0.8742882419343059,3,5.9991,0.25,4
246,20000,0.155,0.12124167885683788,0.7822043797215348,3,5.9991,0.1,4
247,20000,0.155,0.12710210352982323,0.82001357116015,3,5.9991,0.05,4
248,20000,0.155,0.11600959454360067,0.7484489970554882,3,5.9991,0.01,4
249,20000,0.155,0.15673074099918777,1.0111660709625017,3,5.9991,0.005,4
250,20000,0.155,0.10136143042457091,0.6539447124165865,3,5.9991,0.001,4
251,20000,0.155,0.11754120213973525,0.7583303363853887,3,5.9991,0.0,4
252,20000,0.155,0.15644848833092936,1.0093450860059958,2,3.9996,1.0,4
253,20000,0.155,0.1466459986749212,0.9461032172575562,2,3.9996,0.5,4
254,20000,0.155,0.121718835586469,0.7852828102352839,2,3.9996,0.25,4
255,20000,0.155,0.13146601971748448,0.8481678691450611,2,3.9996,0.1,4
256,20000,0.155,0.09215648238376331,0.5945579508629891,2,3.9996,0.05,4
257,20000,0.155,0.0886955706536066,0.5722294880877845,2,3.9996,0.01,4
258,20000,0.155,0.10587245518472099,0.6830480979659419,2,3.9996,0.005,4
259,20000,0.155,0.12458219678900051,0.8037561083161323,2,3.9996,0.001,4
260,20000,0.155,0.08647966898235368,0.5579333482732496,2,3.9996,0.0,4
261,20000,0.155,0.16043213487910185,1.0350460314780765,1,1.9999,1.0,4
262,20000,0.155,0.12657840929736475,0.8166348986926758,1,1.9999,0.5,4
263,20000,0.155,0.09278163114741882,0.5985911686930246,1,1.9999,0.25,4
264,20000,0.155,0.08618810845605143,0.5560523126196867,1,1.9999,0.1,4
265,20000,0.155,0.10712865432061111,0.6911526085200717,1,1.9999,0.05,4
266,20000,0.155,0.08184165537650837,0.5280106798484411,1,1.9999,0.01,4
267,20000,0.155,0.1221531112750749,0.7880845888714509,1,1.9999,0.005,4
268,20000,0.155,0.0744372932880802,0.4802406018585819,1,1.9999,0.001,4
269,20000,0.155,0.08904420718070959,0.574478756004578,1,1.9999,0.0,4
270,20000,0.155,0.1586439048556431,1.023509063584794,6,11.9964,1.0,5
271,20000,0.155,0.15076888965197421,0.9727025138837047,6,11.9964,0.5,5
272,20000,0.155,0.15153142833756497,0.9776221183068708,6,11.9964,0.25,5
273,20000,0.155,0.14050703057871372,0.9064969714755724,6,11.9964,0.1,5
274,20000,0.155,0.13581168803855223,0.8762044389584015,6,11.9964,0.05,5
275,20000,0.155,0.14349640897196558,0.9257832836901005,6,11.9964,0.01,5
276,20000,0.155,0.13733593836985983,0.8860383120636118,6,11.9964,0.005,5
277,20000,0.155,0.1344455702720798,0.8673907759489019,6,11.9964,0.001,5
278,20000,0.155,0.1413740977214829,0.9120909530418252,6,11.9964,0.0,5
279,20000,0.155,0.15046073861494463,0.9707144426770622,5,9.9975,1.0,5
280,20000,0.155,0.15162822168470963,0.9782465915142556,5,9.9975,0.5,5
281,20000,0.155,0.14888229361482863,0.9605309265472814,5,9.9975,0.25,5
282,20000,0.155,0.14211508050459323,0.916871487126408,5,9.9975,0.1,5
283,20000,0.155,0.1332764361470789,0.8598479751424445,5,9.9975,0.05,5
284,20000,0.155,0.14324160845427072,0.9241394093823918,5,9.9975,0.01,5
285,20000,0.155,0.12602143613130684,0.8130415234277861,5,9.9975,0.005,5
286,20000,0.155,0.13717718934037082,0.8850141247765859,5,9.9975,0.001,5
287,20000,0.155,0.13957433162681235,0.9004795588826603,5,9.9975,0.0,5
288,20000,0.155,0.15996499641955378,1.0320322349648632,4,7.9984,1.0,5
289,20000,0.155,0.14859660182567214,0.9586877537140138,4,7.9984,0.5,5
290,20000,0.155,0.14260189898156472,0.9200122514939659,4,7.9984,0.25,5
291,20000,0.155,0.13381967775799763,0.863352759729017,4,7.9984,0.1,5
292,20000,0.155,0.13721891544345477,0.8852833254416437,4,7.9984,0.05,5
293,20000,0.155,0.11651720978697756,0.7517239341095326,4,7.9984,0.01,5
294,20000,0.155,0.12851719931649624,0.82914322139675,4,7.9984,0.005,5
295,20000,0.155,0.12396028732890835,0.7997437892187635,4,7.9984,0.001,5
296,20000,0.155,0.1340837953799449,0.8650567443867412,4,7.9984,0.0,5
297,20000,0.155,0.1500469426987137,0.9680447916046044,3,5.9991,1.0,5
298,20000,0.155,0.14207990063389397,0.9166445202186708,3,5.9991,0.5,5
299,20000,0.155,0.13549548415130444,0.8741644138793835,3,5.9991,0.25,5
300,20000,0.155,0.11716237369781185,0.7558862819213668,3,5.9991,0.1,5
301,20000,0.155,0.11961613685391836,0.7717170119607637,3,5.9991,0.05,5
302,20000,0.155,0.11215709977191542,0.7235941920768737,3,5.9991,0.01,5
303,20000,0.155,0.12151758848312579,0.783984441826618,3,5.9991,0.005,5
304,20000,0.155,0.1119898636949873,0.7225152496450794,3,5.9991,0.001,5
305,20000,0.155,0.11936519894892622,0.7700980577350078,3,5.9991,0.0,5
306,20000,0.155,0.15488959679876727,0.9992877212823694,2,3.9996,1.0,5
307,20000,0.155,0.14715207468135003,0.9493682237506453,2,3.9996,0.5,5
308,20000,0.155,0.1174566405802608,0.7577847779371665,2,3.9996,0.25,5
309,20000,0.155,0.11090048559432396,0.7154870038343482,2,3.9996,0.1,5
310,20000,0.155,0.09796451072250341,0.6320291014355058,2,3.9996,0.05,5
